=== GLOBAL RESULTS ===
 DOF     Type   Status    Disp (mm / rad)   Load (kN / kN·m)
v_local  [mm,rad]: [0.105, -21.974, 0.047, -0.000000, 0.000002, -0.000391, 0.118, -25.099, 0.051, -0.000000, 0.000002, -0.000390]
q_local  [kN,kN·m]: [-21.108, 0.000, 0.000, 0.000, 0.000, 0.000, 21.108, 0.000, 0.000, 0.000, 0.000, 0.000]

E16 (Truss 3D)
u_global [mm,rad]: [6.354, -22.165, 46.673, -0.000000, 0.000002, -0.000391, 6.364, -25.289, 46.670, -0.000000, 0.000002, -0.000391]
v_local  [mm,rad]: [6.354, -22.165, 46.673, -0.000000, 0.000002, -0.000391, 6.364, -25.289, 46.670, -0.000000, 0.000002, -0.000391]
q_local  [kN,kN·m]: [-14.682, 0.000, 0.000, 0.000, 0.000, 0.000, 14.682, 0.000, 0.000, 0.000, 0.000, 0.000]

E17 (Truss 3D)
u_global [mm,rad]: [0.118, -25.099, 0.051, -0.000000, 0.000002, -0.000390, 0.133, -28.221, 0.056, -0.000000, 0.000002, -0.000390]
v_local  [mm,rad]: [0.118, -25.099, 0.051, -0.000000, 0.000002, -0.000390, 0.133, -28.221, 0.056, -0.000000, 0.000002, -0.000390]
q_local  [kN,kN·m]: [-21.904, 0.000, 0.000, 0.000, 0.000, 0.000, 21.904, 0.000, 0.000, 0.000, 0.000, 0.000]

E18 (Truss 3D)
u_global [mm,rad]: [6.364, -25.289, 46.670, -0.000000, 0.000002, -0.000391, 6.373, -28.413, 46.666, -0.000000, 0.000002, -0.000390]
v_local  [mm,rad]: [6.364, -25.289, 46.670, -0.000000, 0.000002, -0.000391, 6.373, -28.413, 46.666, -0.000000, 0.000002, -0.000390]
q_local  [kN,kN·m]: [-14.032, 0.000, 0.000, 0.000, 0.000, 0.000, 14.032, 0.000, 0.000, 0.000, 0.000, 0.000]

E19 (Truss 3D)
u_global [mm,rad]: [0.133, -28.221, 0.056, -0.000000, 0.000002, -0.000390, 0.147, -31.338, 0.062, -0.000000, 0.000002, -0.000389]
v_local  [mm,rad]: [0.133, -28.221, 0.056, -0.000000, 0.000002, -0.000390, 0.147, -31.338, 0.062, -0.000000, 0.000002, -0.000389]
q_local  [kN,kN·m]: [-21.904, 0.000, 0.000, 0.000, 0.000, 0.000, 21.904, 0.000, 0.000, 0.000, 0.000, 0.000]

E20 (Truss 3D)
